burrow,year,stintID,start_date,ring,sex,start_mass,burrowID,stintlength,DSL,end_mass,endsInNeglect,followsNeglect,exp,whoFirst
171,2015,2,22/06/2015,EK59706,F,425,171.2015,7,37,360,NO,NO,EXP,M
171,2015,3,29/06/2015,EX93918,M,465,171.2015,6,44,395,NO,NO,EXP,M
175,2015,0,23/05/2015,EB52820,F,365,175.2015,4,1,335,NO,NO,EXP,F
175,2015,0,27/05/2015,EX93922,M,440,175.2015,5,5,395,NO,NO,EXP,F
175,2015,1,01/06/2015,EB52820,F,425,175.2015,8,10,355,NO,NO,EXP,F
175,2015,1,09/06/2015,EX93922,M,460,175.2015,8,18,385,NO,NO,EXP,F
175,2015,2,17/06/2015,EB52820,F,415,175.2015,9,26,330,NO,NO,EXP,F
175,2015,3,04/07/2015,EB52820,F,420,175.2015,8,43,NA,NO,NO,EXP,F
18,2016,0,08/05/2016,EY07289,M,455,18.2016,10,1,380,NO,NO,UNKNOWN,M
18,2016,0,18/05/2016,EZ01960,F,475,18.2016,8,11,410,NO,NO,UNKNOWN,M
18,2016,1,26/05/2016,EY07289,M,465,18.2016,8,19,395,NO,NO,UNKNOWN,M
18,2016,1,03/06/2016,EZ01960,F,450,18.2016,9,27,375,NO,NO,UNKNOWN,M
18,2016,2,12/06/2016,EY07289,M,445,18.2016,9,36,360,NO,NO,UNKNOWN,M
18,2016,3,27/06/2016,EY07289,M,450,18.2016,3,51,430,NO,NO,UNKNOWN,M
18,2019,0,06/05/2019,EA05388,F,415,18.2019,3,1,400,NO,NO,UNKNOWN,F
18,2019,0,06/05/2019,EY07275,M,440,18.2019,1,1,440,NO,NO,UNKNOWN,F
18,2019,1,09/05/2019,EY07275,M,450,18.2019,7,4,375,NO,NO,UNKNOWN,F
18,2019,1,16/05/2019,EA05388,F,485,18.2019,5,11,450,NO,NO,UNKNOWN,F
18,2019,2,21/05/2019,EY07275,M,440,18.2019,2,16,425,YES,NO,UNKNOWN,F
18,2019,3,24/05/2019,EY07275,M,400,18.2019,3,19,380,YES,YES,UNKNOWN,F
18,2019,4,28/05/2019,EY07275,M,365,18.2019,1,23,365,NO,YES,UNKNOWN,F
18,2019,2,29/05/2019,EA05388,F,485,18.2019,5,24,460,YES,NO,UNKNOWN,F
18,2019,3,11/06/2019,EA05388,F,490,18.2019,3,37,465,YES,YES,UNKNOWN,F
18,2019,4,24/06/2019,EA05388,F,460,18.2019,2,50,440,YES,YES,UNKNOWN,F
181,2019,0,08/05/2019,EZ88883,M,465,181.2019,2,1,450,NO,NO,NEW,M
181,2019,0,10/05/2019,EX59709,F,450,181.2019,3,3,425,NO,NO,NEW,M
181,2019,1,13/05/2019,EZ88883,M,450,181.2019,5,6,400,NO,NO,NEW,M
181,2019,1,17/05/2019,EX59709,F,405,181.2019,8,10,390,NO,NO,NEW,M
