burrow,year,stintID,ring,sex,start_mass,DSL,foragetrip,partnerincoming,exp
167,2016,0,EK59739,M,430,13,4,NA,NEW
16L,2017,2,FB32297,M,NA,27,1,NA,EXP
16L,2017,0,FB30568,F,NA,12,7,NA,EXP
16L,2017,1,FB30568,F,NA,23,9,NA,EXP
16L,2017,3,FB32297,M,NA,29,4,NA,EXP
16L,2017,1,FB32297,M,NA,19,4,NA,EXP
16L,2017,0,FB32297,M,NA,9,3,NA,EXP
171,2015,0,EK59706,F,330,16,7,460,EXP
171,2015,2,EK59706,F,360,43,6,465,EXP
171,2015,0,EX93918,M,385,7,9,NA,EXP
171,2015,1,EX93918,M,395,23,6,440,EXP
171,2015,2,EX93918,M,420,36,7,425,EXP
171,2015,1,EK59706,F,385,29,7,470,EXP
175,2015,0,EX93922,M,395,9,8,425,EXP
175,2015,0,EB52820,F,335,4,5,NA,EXP
175,2015,1,EX93922,M,385,25,9,415,EXP
175,2015,2,EB52820,F,330,34,8,465,EXP
175,2015,1,EB52820,F,355,17,8,460,EXP
18,2016,0,EZ01960,F,410,18,8,465,UNKNOWN
18,2016,2,EY07289,M,360,44,6,450,UNKNOWN
18,2016,0,EY07289,M,380,10,8,NA,UNKNOWN
18,2016,1,EY07289,M,395,26,9,450,UNKNOWN
18,2016,1,EZ01960,F,375,35,9,445,UNKNOWN
18,2019,3,EY07275,M,380,21,1,400,UNKNOWN
18,2019,0,EY07275,M,440,1,2,NA,UNKNOWN
18,2019,0,EA05388,F,400,3,7,450,UNKNOWN
18,2019,4,EY07275,M,365,23,7,365,UNKNOWN
18,2019,2,EY07275,M,425,17,1,485,UNKNOWN
18,2019,2,EA05388,F,460,28,8,400,UNKNOWN
18,2019,3,EA05388,F,465,39,10,490,UNKNOWN
18,2019,1,EA05388,F,450,15,8,440,UNKNOWN
18,2019,1,EY07275,M,375,10,5,485,UNKNOWN
181,2019,0,EZ88883,M,450,2,3,NA,NEW
181,2019,1,EZ88883,M,400,10,7,405,NEW
181,2019,0,EX59709,F,425,5,4,450,NEW
181,2019,1,EX59709,F,390,17,11,455,NEW
181,2019,3,EX59709,F,425,44,1,460,NEW
